B1_armA_a0.38_x20_r05,381.6
B1_armA_a0.38_x24_r05,380.4
B1_armA_a0.45_x04_r05,373.2
B1_armA_a0.45_x08_r05,375.0
B1_armA_a0.45_x12_r05,375.0
B1_armA_a0.45_x16_r05,375.0
B1_armA_a0.45_x20_r05,374.3
B1_armA_a0.45_x24_r05,373.4
B1_armA_a0.55_x04_r05,357.5
B1_armA_a0.55_x08_r05,356.2
B1_armA_a0.55_x12_r05,356.3
B1_armA_a0.55_x16_r05,351.0
B1_armA_a0.55_x20_r05,351.1
B1_armA_a0.55_x24_r05,351.8
B1_armA_a0.30_x04_r06,407.4
B1_armA_a0.30_x08_r06,409.9
B1_armA_a0.30_x12_r06,412.4
B1_armA_a0.30_x16_r06,405.6
B1_armA_a0.30_x20_r06,405.7
B1_armA_a0.30_x24_r06,404.5
B1_armA_a0.38_x04_r06,381.5
B1_armA_a0.38_x08_r06,379.6
B1_armA_a0.38_x12_r06,379.2
B1_armA_a0.38_x16_r06,392.9
B1_armA_a0.38_x20_r06,395.5
B1_armA_a0.38_x24_r06,394.0
B1_armA_a0.45_x04_r06,365.3
B1_armA_a0.45_x08_r06,361.3
B1_armA_a0.45_x12_r06,361.9
B1_armA_a0.45_x16_r06,375.0
B1_armA_a0.45_x20_r06,377.2
B1_armA_a0.45_x24_r06,376.1
B1_armA_a0.55_x04_r06,355.9
B1_armA_a0.55_x08_r06,355.3
B1_armA_a0.55_x12_r06,355.7
B1_armA_a0.55_x16_r06,359.9
B1_armA_a0.55_x20_r06,359.0
B1_armA_a0.55_x24_r06,358.9
B1_armA_a0.30_x04_r07,381.5
B1_armA_a0.30_x08_r07,383.5
B1_armA_a0.30_x12_r07,384.6
B1_armA_a0.30_x16_r07,398.0
B1_armA_a0.30_x20_r07,398.7
B1_armA_a0.30_x24_r07,399.8
B1_armA_a0.38_x04_r07,379.4
B1_armA_a0.38_x08_r07,378.6
B1_armA_a0.38_x12_r07,376.9
B1_armA_a0.38_x16_r07,372.6
B1_armA_a0.38_x20_r07,372.2
B1_armA_a0.38_x24_r07,372.9
B1_armA_a0.45_x04_r07,365.7
B1_armA_a0.45_x08_r07,365.4
B1_armA_a0.45_x12_r07,365.3
B1_armA_a0.45_x16_r07,372.6
B1_armA_a0.45_x20_r07,372.2
B1_armA_a0.45_x24_r07,369.8
B1_armA_a0.55_x04_r07,357.9
B1_armA_a0.55_x08_r07,356.7
B1_armA_a0.55_x12_r07,358.0
B1_armA_a0.55_x16_r07,346.2
B1_armA_a0.55_x20_r07,346.1
B1_armA_a0.55_x24_r07,346.8
B1_armA_a0.30_x04_r08,391.9
B1_armA_a0.30_x08_r08,394.2
B1_armA_a0.30_x12_r08,394.7
B1_armA_a0.30_x16_r08,406.0
B1_armA_a0.30_x20_r08,406.0
B1_armA_a0.30_x24_r08,406.2
B1_armA_a0.38_x04_r08,371.2
B1_armA_a0.38_x08_r08,370.5
B1_armA_a0.38_x12_r08,369.7
B1_armA_a0.38_x16_r08,378.6
