256 episodes, 256 to run
[93/256] B3c_c832_a0.55_x14_r00 317s ETA 5.2h
[94/256] B3c_c1013_a0.55_x14_r00 300s ETA 5.2h
[95/256] B3c_c1146_a0.55_x14_r00 299s ETA 5.1h
[96/256] B3c_c1151_a0.55_x14_r00 297s ETA 5.1h
[97/256] B3c_c97_a0.55_x18_r00 297s ETA 5.1h
[98/256] B3c_c184_a0.55_x18_r00 297s ETA 5.0h
[99/256] B3c_c590_a0.55_x18_r00 300s ETA 4.9h
[100/256] B3c_c656_a0.55_x18_r00 314s ETA 5.0h
[101/256] B3c_c832_a0.55_x18_r00 315s ETA 4.9h
[102/256] B3c_c1013_a0.55_x18_r00 313s ETA 4.8h
[103/256] B3c_c1146_a0.55_x18_r00 295s ETA 4.9h
[104/256] B3c_c1151_a0.55_x18_r00 294s ETA 4.8h
[105/256] B3c_c97_a0.55_x22_r00 294s ETA 4.7h
[106/256] B3c_c184_a0.55_x22_r00 303s ETA 4.8h
[107/256] B3c_c590_a0.55_x22_r00 303s ETA 4.7h
[108/256] B3c_c656_a0.55_x22_r00 303s ETA 4.6h
[109/256] B3c_c832_a0.55_x22_r00 314s ETA 4.6h
[110/256] B3c_c1013_a0.55_x22_r00 313s ETA 4.6h
[111/256] B3c_c1146_a0.55_x22_r00 314s ETA 4.5h
[112/256] B3c_c1151_a0.55_x22_r00 301s ETA 4.5h
[113/256] B3c_c97_a0.55_x26_r00 301s ETA 4.5h
[114/256] B3c_c184_a0.55_x26_r00 300s ETA 4.4h
[115/256] B3c_c590_a0.55_x26_r00 309s ETA 4.4h
[116/256] B3c_c656_a0.55_x26_r00 312s ETA 4.4h
[117/256] B3c_c832_a0.55_x26_r00 314s ETA 4.3h
[118/256] B3c_c1013_a0.55_x26_r00 308s ETA 4.3h
[119/256] B3c_c1146_a0.55_x26_r00 307s ETA 4.3h
[120/256] B3c_c1151_a0.55_x26_r00 304s ETA 4.2h
[121/256] B3c_c97_a0.55_x30_r00 296s ETA 4.2h
[122/256] B3c_c184_a0.55_x30_r00 297s ETA 4.2h
[123/256] B3c_c590_a0.55_x30_r00 299s ETA 4.1h
[124/256] B3c_c656_a0.55_x30_r00 317s ETA 4.1h
[125/256] B3c_c832_a0.55_x30_r00 318s ETA 4.1h
[126/256] B3c_c1013_a0.55_x30_r00 316s ETA 4.0h
[127/256] B3c_c1146_a0.55_x30_r00 328s ETA 4.0h
[128/256] B3c_c1151_a0.55_x30_r00 314s ETA 4.0h
[129/256] B3c_c97_a0.30_x02_r01 305s ETA 3.9h
[130/256] B3c_c184_a0.30_x02_r01 359s ETA 3.9h
[131/256] B3c_c590_a0.30_x02_r01 362s ETA 3.9h
[132/256] B3c_c656_a0.30_x02_r01 362s ETA 3.8h
[133/256] B3c_c832_a0.30_x02_r01 368s ETA 3.9h
[134/256] B3c_c1013_a0.30_x02_r01 366s ETA 3.8h
[135/256] B3c_c1146_a0.30_x02_r01 365s ETA 3.7h
[136/256] B3c_c1151_a0.30_x02_r01 338s ETA 3.8h
[137/256] B3c_c97_a0.30_x06_r01 338s ETA 3.7h
[138/256] B3c_c184_a0.30_x06_r01 338s ETA 3.6h
[139/256] B3c_c590_a0.30_x06_r01 374s ETA 3.7h
[140/256] B3c_c656_a0.30_x06_r01 376s ETA 3.6h
[141/256] B3c_c832_a0.30_x06_r01 376s ETA 3.6h
[142/256] B3c_c1013_a0.30_x06_r01 346s ETA 3.6h
[143/256] B3c_c1146_a0.30_x06_r01 344s ETA 3.5h
[144/256] B3c_c1151_a0.30_x06_r01 343s ETA 3.5h
[145/256] B3c_c97_a0.30_x10_r01 349s ETA 3.5h
[146/256] B3c_c184_a0.30_x10_r01 352s ETA 3.4h
[147/256] B3c_c590_a0.30_x10_r01 352s ETA 3.4h
[148/256] B3c_c656_a0.30_x10_r01 372s ETA 3.4h
[149/256] B3c_c832_a0.30_x10_r01 371s ETA 3.3h
[150/256] B3c_c1013_a0.30_x10_r01 371s ETA 3.3h
[151/256] B3c_c1146_a0.30_x10_r01 354s ETA 3.3h
[152/256] B3c_c97_a0.30_x14_r01 341s ETA 3.3h
[153/256] B3c_c1151_a0.30_x10_r01 360s ETA 3.2h
[154/256] B3c_c184_a0.30_x14_r01 362s ETA 3.2h
[155/256] B3c_c656_a0.30_x14_r01 362s ETA 3.2h
