alpha,n_transitions,brier,brier_climatology,ece
0.2,43008,0.10282179125208403,0.17351832789899,0.05189353185211941
0.3,67584,0.11492892855860413,0.1930738697367266,0.05912687782807775
0.38,43008,0.1297634731188923,0.21226065012873435,0.07566939227500219
0.45,43008,0.11926837867300451,0.19841626225685588,0.06294786347222815
0.55,43008,0.13837573722154678,0.22466922887598847,0.08514374117289278
1.0,43008,0.15814027656999646,0.24650931358337402,0.1014241866311724
