delta,model,family,bin_lo,bin_hi,n,k,q,ci_lo,ci_hi
0.05,qwn,square,0.4,0.5,25,16,0.64,0.44518154601046633,0.7975234356826436
0.05,qwn,square,0.5,0.6000000000000001,47,36,0.7659574468085106,0.6277546774315923,0.8639686357607541
0.05,qwn,square,0.6000000000000001,0.7000000000000001,25,22,0.88,0.7004380781662651,0.9583325864293191
0.05,qwn,square,0.7000000000000001,0.8,18,17,0.9444444444444444,0.7424220019799247,0.9901250641690756
0.05,qwn,square,0.8,0.9,11,10,0.9090909090909091,0.6226353745137962,0.9837682477371741
0.05,qwn,square,0.9,1.0,10,10,1.0,0.7224598312333834,1.0
0.05,qwn,triangular,0.0,0.1,4,1,0.25,0.045586062644636216,0.6993639475573634
0.05,qwn,triangular,0.1,0.2,5,4,0.8,0.3755282641185388,0.9637768390302125
0.05,qwn,triangular,0.2,0.30000000000000004,7,6,0.8571428571428571,0.48686549668097007,0.9743210440510253
0.05,qwn,triangular,0.30000000000000004,0.4,10,9,0.9,0.5958436145024278,0.9821242504842788
0.05,qwn,triangular,0.4,0.5,26,19,0.7307692307692307,0.5391659658023868,0.8629572447493261
0.05,qwn,triangular,0.5,0.6000000000000001,45,34,0.7555555555555555,0.6132633941520986,0.8576466497449071
0.05,qwn,triangular,0.6000000000000001,0.7000000000000001,17,16,0.9411764705882353,0.730174547964372,0.9895398693548358
0.05,qwn,triangular,0.7000000000000001,0.8,21,19,0.9047619047619048,0.7108541613925933,0.9734817912030528
0.05,qwn,triangular,0.8,0.9,16,15,0.9375,0.7167073163197013,0.9888809426916687
0.05,qwn,triangular,0.9,1.0,9,9,1.0,0.7008472464490407,1.0
0.05,lma,random,0.0,0.1,147,12,0.08163265306122448,0.0473118318079133,0.137263245624307
0.05,lma,random,0.1,0.2,191,18,0.09424083769633508,0.06044392257152551,0.14403807716569691
0.05,lma,random,0.2,0.30000000000000004,122,25,0.20491803278688525,0.14282861339624775,0.28502354360112037
0.05,lma,random,0.30000000000000004,0.4,134,46,0.34328358208955223,0.2682659929633293,0.4270364411349401
0.05,lma,random,0.4,0.5,147,81,0.5510204081632653,0.47033376880135863,0.6291082949264193
0.05,lma,random,0.5,0.6000000000000001,156,102,0.6538461538461539,0.5763023694129915,0.7239949249083867
0.05,lma,random,0.6000000000000001,0.7000000000000001,115,90,0.782608695652174,0.6987534627541624,0.8481930610220237
0.05,lma,random,0.7000000000000001,0.8,84,75,0.8928571428571429,0.8087519975771198,0.9426004368047676
0.05,lma,random,0.8,0.9,46,45,0.9782608695652174,0.8866444550566697,0.9961522448887572
0.05,lma,random,0.9,1.0,138,138,1.0,0.9729162671599869,1.0
0.05,lma,square,0.0,0.1,21,1,0.047619047619047616,0.008455769471923294,0.22669816586235464
0.05,lma,square,0.1,0.2,17,2,0.11764705882352941,0.03287908001292092,0.3433684249770991
0.05,lma,square,0.2,0.30000000000000004,17,0,0.0,0.0,0.18432366037156456
0.05,lma,square,0.30000000000000004,0.4,19,6,0.3157894736842105,0.15364171004428598,0.5398998982493537
0.05,lma,square,0.4,0.5,17,5,0.29411764705882354,0.13279793865556402,0.5313353332621391
0.05,lma,square,0.5,0.6000000000000001,20,12,0.6,0.3865779423152061,0.7811960325858074
0.05,lma,square,0.6000000000000001,0.7000000000000001,17,14,0.8235294117647058,0.5897007098262422,0.9380898628745101
0.05,lma,square,0.7000000000000001,0.8,11,10,0.9090909090909091,0.6226353745137962,0.9837682477371741
0.05,lma,square,0.8,0.9,4,4,1.0,0.5100999795960008,1.0
0.05,lma,square,0.9,1.0,17,17,1.0,0.8156763396284354,1.0
