variant,c0,theta,beta_T,beta_F,h,alpha_star,bistable_at_0.3,bistable_at_1.5,in_window
A,0.724709884072387,0.0,0.41881137463108,-0.5677665205439346,0.724709884072387,0.4251067876815796,True,False,True
B,-0.7584812103394276,1.909068175953889,0.2910189328594755,-0.3255065990434919,0.1960528776375169,0.4677720308303833,True,False,True
B_small_hq,-0.7574295063066457,2.058621148746211,0.28252741886005484,-0.2974141999416689,0.27188106806645973,0.35168454647064207,True,False,True
