alpha,EK_exact,K_closed,underestimate
0.2,10.119499085585279,9.870405130110047,0.02461524561329853
0.3,8.026130444333324,7.773812984118633,0.031436999680566347
0.435,6.399545095037891,6.145088807405319,0.039761621154896454
0.55,5.515958159886482,5.260264881416163,0.04635518817560813
1.0,3.7250704942696817,3.4657359027997265,0.06961870704699213
2.0,2.3354190799227275,2.0715673631957663,0.11297831682341619
5.0,1.1837018561706913,1.0099712014499074,0.14676892987462864
20.0,1.000000061834608,0.32156655409667395,0.6784334657872666
