variant,k,bT,bT_lo,bT_hi,bF,bF_lo,bF_hi,swing,drift,c0_meanFE,theta,n_obs,n_boot
A,1,2.1116343583715627,1.5784345074744408,2.9584776923305447,-1.525645783760693,-2.0315661312717883,-1.1226587388214389,3.637280142132256,0.5859885746108697,0.9439201139239262,,10608,200
A,2,1.2281144677001923,0.9759388626707577,1.4094113660079164,-1.2093217380742793,-1.4851733523940398,-0.9414603103652611,2.4374362057744716,0.01879272962591294,0.9439201139239262,,10608,200
A,3,0.7959621682119306,0.6482819917596754,0.959171095103186,-1.0430527490122092,-1.3014575816295335,-0.798834429616183,1.83901491722414,-0.24709058080027868,0.9439201139239262,,10608,200
A,5,0.44911331852900277,0.3537355802042853,0.5530646541061373,-0.7239562121961007,-0.8766607406419062,-0.5712247877430598,1.1730695307251036,-0.27484289366709796,0.9439201139239262,,10608,200
A,8,0.31079199103179156,0.2568495194586248,0.36592004960206576,-0.5148477883126898,-0.6280233935655558,-0.4125094913192329,0.8256397793444814,-0.2040557972808983,0.9439201139239262,,10608,200
A,12,0.22536062414763583,0.1790512070620895,0.2725863902455801,-0.38637389664769645,-0.47644512070980893,-0.3256939927966796,0.6117345207953323,-0.16101327250006062,0.9439201139239262,,10608,200
B,1,1.6191289836124343,1.2921116200203353,1.937791441793874,-1.515380558806795,-1.7978178231356676,-1.2495241936116286,3.134509542419229,0.10374842480563928,-0.6379010238212327,2.1530054212153384,21216,200
B,2,0.7830531573682051,0.5951785346035406,0.9479749646836085,-1.096540203821485,-1.2290794451883134,-0.9344683370098527,1.8795933611896902,-0.31348704645327996,-0.6379010238212327,2.1530054212153384,21216,200
B,3,0.6115752650653286,0.492877018772424,0.7170452845415067,-0.8183944051808307,-0.920029895511067,-0.6829636412692054,1.4299696702461593,-0.20681914011550218,-0.6379010238212327,2.1530054212153384,21216,200
B,5,0.34001278461629997,0.2795514988323715,0.4051126068767967,-0.5033439317413269,-0.5737715671667354,-0.42052947306277716,0.8433567163576268,-0.1633311471250269,-0.6379010238212327,2.1530054212153384,21216,200
B,8,0.24357920339577627,0.20154747955143948,0.2777060014746238,-0.34081341087677414,-0.38326225197579866,-0.29171659142114736,0.5843926142725504,-0.09723420748099787,-0.6379010238212327,2.1530054212153384,21216,200
B,12,0.18276396685717222,0.15728386158306998,0.20607484950240434,-0.24559969363161052,-0.2773987082410238,-0.21544996037562913,0.4283636604887827,-0.0628357267744383,-0.6379010238212327,2.1530054212153384,21216,200
