arm,alpha,rho,x0_n,x0,n,q,wilson_lo,wilson_hi,claimboot_lo,claimboot_hi,undecided,q_d05,q_d2,q_excl_und
B,0.6,0,10,0.3125,20,0.05,0.008881219432873136,0.23613589351256675,0.0,0.15,0.0,0.05,0.0,0.05
B,0.6,0,16,0.5,20,0.0,-1.3877787807814457e-17,0.16113012549493322,0.0,0.0,0.1,0.0,0.0,0.0
B,0.6,0,22,0.6875,20,0.15,0.05236779195949584,0.36042329588695743,0.0,0.3,0.15,0.25,0.1,0.17647058823529413
B,0.6,0,28,0.875,20,0.65,0.43285051021946463,0.8188104521320554,0.35,0.9,0.05,0.65,0.65,0.6842105263157895
B,0.9,0,4,0.125,20,0.0,-1.3877787807814457e-17,0.16113012549493322,0.0,0.0,0.0,0.0,0.0,0.0
B,0.9,0,10,0.3125,20,0.0,-1.3877787807814457e-17,0.16113012549493322,0.0,0.0,0.0,0.0,0.0,0.0
B,0.9,0,16,0.5,20,0.05,0.008881219432873136,0.23613589351256675,0.0,0.15,0.0,0.05,0.05,0.05
B,0.9,0,22,0.6875,20,0.2,0.0806563532712,0.41602172202575993,0.0,0.45,0.25,0.25,0.2,0.26666666666666666
B,0.9,0,28,0.875,20,0.65,0.43285051021946463,0.8188104521320554,0.35,0.8,0.05,0.7,0.6,0.6842105263157895
B,1.3,0,4,0.125,20,0.0,-1.3877787807814457e-17,0.16113012549493322,0.0,0.0,0.05,0.0,0.0,0.0
B,1.3,0,10,0.3125,20,0.0,-1.3877787807814457e-17,0.16113012549493322,0.0,0.0,0.0,0.0,0.0,0.0
B,1.3,0,16,0.5,20,0.05,0.008881219432873136,0.23613589351256675,0.0,0.15,0.2,0.05,0.0,0.0625
B,1.3,0,22,0.6875,20,0.05,0.008881219432873136,0.23613589351256675,0.0,0.15,0.3,0.1,0.05,0.07142857142857142
B,1.3,0,28,0.875,20,0.6,0.3865779423152061,0.7811960325858074,0.3,0.9012499999999932,0.1,0.6,0.35,0.6666666666666666
