scheme,param,loglik,n_par,aic,cv_loglik_per_obs
load_decay,0.14,-14901.649508753846,21,29845.299017507692,-0.4825598545748945
divisive,0.9,-14781.808373132055,21,29605.61674626411,-0.48276201230181337
pos_decay,0.25,-15164.039137322914,21,30370.078274645828,-0.4887088341810985
topk,5.0,-15469.99833221173,21,30981.99666442346,-0.4977849064240033
null,0.0,-15807.875187284084,20,31655.750374568168,-0.5091072660705044
