variant,claim_id,FE
A,6,0.22359360294053943
A,19,3.0295516773619258
A,21,1.1913061072924565
A,79,-0.7025268393394898
A,306,1.5519512324946516
A,349,1.0642187349712275
A,382,0.19856662149903043
A,443,1.089578535222462
A,1508,1.2168158465187886
A,1569,0.5486962433835002
A,1609,0.8622065820143863
A,2070,0.16101170970897447
A,2081,0.9504128838250235
A,2128,1.696154143191403
A,2711,0.9377967294799336
A,2753,0.9504128838250226
A,2961,1.0768952423169098
B,6,-0.8551674220398527
B,19,-0.8659243330636303
B,21,-0.3699281370595832
B,79,-1.6833931616758202
B,306,-0.15111840748905958
B,349,-0.28824516939671163
B,382,-0.9951660664838928
B,443,-0.5862311951894317
B,1508,-0.3699281370595831
B,1569,-0.5538906748714421
B,1609,-0.7422650217731145
B,2070,-1.2336068536747793
B,2081,-0.6239299464774763
B,2128,-0.16214086630895774
B,2711,-0.5646739529294231
B,2753,-0.5323139715856895
B,2961,-0.26639408788250907
