rule,arm,alpha,rho,x0_n,x0,n,obs_q,obs_wrong,obs_mean_x8,pred_q,pred_wrong,pred_mean_x8
perk17,B,1.3,0,4,0.125,20,0.0,0.95,0.0921875,0.01475,0.94475,0.1208203124999999
perk17,B,1.3,0,10,0.3125,20,0.0,1.0,0.096875,0.089,0.82225,0.202890625
perk17,B,1.3,0,16,0.5,20,0.05,0.75,0.215625,0.24275,0.6452499999999999,0.3348125
perk17,B,1.3,0,22,0.6875,20,0.05,0.65,0.3125,0.4647500000000001,0.387,0.5245937500000001
perk17,B,1.3,0,28,0.875,20,0.6,0.3,0.5515625,0.7097499999999999,0.154,0.7051093749999999
claim_const,A,0.2,0,4,0.125,16,0.0,1.0,0.0625,0.0,1.0,0.00205078125
claim_const,A,0.2,0,8,0.25,40,0.025,0.975,0.071875,0.0,1.0,0.00241015625
claim_const,A,0.2,0,12,0.375,16,0.0,1.0,0.064453125,0.0,1.0,0.001884765625
claim_const,A,0.2,0,16,0.5,16,0.0,1.0,0.068359375,0.02625,0.973125,0.028408203125
claim_const,A,0.2,0,20,0.625,40,0.1,0.9,0.16328125,0.2912499999999999,0.7055,0.2913359375
claim_const,A,0.2,0,24,0.75,40,0.275,0.725,0.32421875,0.517625,0.4797499999999999,0.5103125000000001
claim_const,A,0.3,0,4,0.125,40,0.0,0.975,0.08984375,0.0,1.0,0.00833984375
claim_const,A,0.3,0,8,0.25,16,0.0,0.9375,0.08984375,0.0,1.0,0.00712890625
claim_const,A,0.3,0,12,0.375,16,0.0,1.0,0.091796875,0.0034375,0.99625,0.011044921875
claim_const,A,0.3,0,16,0.5,16,0.0,0.875,0.123046875,0.031875,0.9653125,0.041416015625
claim_const,A,0.3,0,20,0.625,40,0.075,0.725,0.21953125,0.268875,0.717875,0.2739453125
claim_const,A,0.3,0,24,0.75,40,0.4,0.525,0.47109375,0.4397500000000001,0.5386249999999999,0.43287890625
claim_const,A,0.3,1,4,0.125,16,0.0,1.0,0.07421875,0.0,1.0,0.007900390625
claim_const,A,0.3,1,8,0.25,16,0.0,1.0,0.083984375,0.0,1.0,0.00736328125
claim_const,A,0.3,1,12,0.375,16,0.0,0.9375,0.109375,0.0003125,0.9996875,0.008564453125
claim_const,A,0.3,1,16,0.5,16,0.0,0.9375,0.134765625,0.0659375,0.92875,0.0736621093749999
claim_const,A,0.3,1,20,0.625,16,0.0625,0.9375,0.16796875,0.2699999999999999,0.7175,0.2757421875
claim_const,A,0.3,1,24,0.75,16,0.3125,0.625,0.404296875,0.46375,0.5140625000000001,0.4556054687499999
claim_const,A,0.38,0,4,0.125,16,0.0,1.0,0.07421875,0.0,1.0,0.0172265625
claim_const,A,0.38,0,8,0.25,16,0.0,0.9375,0.09375,0.0,1.0,0.016142578125
claim_const,A,0.38,0,12,0.375,16,0.0,0.875,0.12890625,0.0015625,0.9959375,0.020966796875
claim_const,A,0.38,0,16,0.5,40,0.025,0.9,0.1453125,0.0695,0.92075,0.0895781249999999
claim_const,A,0.38,0,20,0.625,40,0.15,0.8,0.24375,0.227625,0.748875,0.24274609375
claim_const,A,0.38,0,24,0.75,40,0.35,0.525,0.45234375,0.399125,0.5591250000000001,0.402328125
claim_const,A,0.45,0,4,0.125,40,0.0,0.975,0.09765625,0.0,1.0,0.0289765625
claim_const,A,0.45,0,8,0.25,40,0.0,0.85,0.1546875,0.000125,0.9995,0.0306914062499999
claim_const,A,0.45,0,12,0.375,16,0.0,0.875,0.1640625,0.0128125,0.979375,0.048046875
claim_const,A,0.45,0,16,0.5,16,0.0,0.875,0.150390625,0.0746874999999999,0.9046875,0.1120703125
claim_const,A,0.45,0,20,0.625,16,0.0,0.6875,0.203125,0.1862499999999999,0.781875,0.216533203125
claim_const,A,0.45,0,24,0.75,40,0.45,0.475,0.48828125,0.343875,0.59875,0.36601171875
claim_const,A,0.55,0,4,0.125,16,0.0,0.9375,0.134765625,0.0,0.9990625,0.05205078125
claim_const,A,0.55,0,8,0.25,16,0.0,0.875,0.169921875,0.00375,0.9871875,0.060517578125
claim_const,A,0.55,0,12,0.375,16,0.0,0.875,0.18359375,0.02,0.9565625,0.08755859375
claim_const,A,0.55,0,16,0.5,40,0.1,0.725,0.21953125,0.095625,0.859,0.16040234375
claim_const,A,0.55,0,20,0.625,40,0.225,0.6,0.3171875,0.193,0.76,0.23773828125
claim_const,A,0.55,0,24,0.75,40,0.375,0.55,0.43203125,0.291375,0.623125,0.3420117187499999
claim_const,A,1.0,0,4,0.125,16,0.125,0.6875,0.255859375,0.0559375,0.7315625,0.28931640625
claim_const,A,1.0,0,8,0.25,16,0.0625,0.8125,0.21484375,0.0709375,0.715625,0.2885546874999999
claim_const,A,1.0,0,12,0.375,16,0.0625,0.625,0.296875,0.103125,0.6290625000000001,0.335625
claim_const,A,1.0,0,16,0.5,40,0.225,0.5,0.371875,0.13125,0.611125,0.350328125
claim_const,A,1.0,0,20,0.625,40,0.425,0.45,0.48671875,0.19025,0.497375,0.411078125
claim_const,A,1.0,0,24,0.75,40,0.4,0.325,0.53671875,0.26025,0.394625,0.46239453125
claim_const,B,0.6,0,4,0.125,20,0.0,1.0,0.028125,0.071,0.7769999999999999,0.227125
claim_const,B,0.6,0,10,0.3125,20,0.05,0.95,0.0953125,0.12825,0.69625,0.2650859375
claim_const,B,0.6,0,16,0.5,20,0.0,0.9,0.103125,0.21,0.61025,0.323875
claim_const,B,0.6,0,22,0.6875,20,0.15,0.7,0.3140625,0.368,0.4079999999999999,0.4504140625
claim_const,B,0.6,0,28,0.875,20,0.65,0.3,0.665625,0.5760000000000001,0.197,0.6016171875
claim_const,B,0.9,0,4,0.125,20,0.0,1.0,0.071875,0.1185,0.6375,0.3126953125
claim_const,B,0.9,0,10,0.3125,20,0.0,1.0,0.0609375,0.1562499999999999,0.6104999999999999,0.3340625
claim_const,B,0.9,0,16,0.5,20,0.05,0.95,0.15,0.2075,0.5447500000000001,0.3717734375
claim_const,B,0.9,0,22,0.6875,20,0.2,0.55,0.3484375,0.26975,0.4157499999999999,0.4356484375
claim_const,B,0.9,0,28,0.875,20,0.65,0.3,0.640625,0.376,0.2724999999999999,0.5160625
claim_const,B,1.3,0,4,0.125,20,0.0,0.95,0.0921875,0.136,0.5445000000000001,0.3777812499999999
claim_const,B,1.3,0,10,0.3125,20,0.0,1.0,0.096875,0.1599999999999999,0.5127499999999998,0.395125
claim_const,B,1.3,0,16,0.5,20,0.05,0.75,0.215625,0.19075,0.45525,0.420984375
claim_const,B,1.3,0,22,0.6875,20,0.05,0.65,0.3125,0.224,0.3745,0.4574765625
claim_const,B,1.3,0,28,0.875,20,0.6,0.3,0.5515625,0.2897499999999999,0.28075,0.4948828125
claim_div,A,0.2,0,4,0.125,16,0.0,1.0,0.0625,0.0,1.0,0.01990234375
claim_div,A,0.2,0,8,0.25,40,0.025,0.975,0.071875,0.0,1.0,0.01905859375
claim_div,A,0.2,0,12,0.375,16,0.0,1.0,0.064453125,0.005625,0.9934375,0.0256445312499999
claim_div,A,0.2,0,16,0.5,16,0.0,1.0,0.068359375,0.0634375,0.9303125,0.084140625
claim_div,A,0.2,0,20,0.625,40,0.1,0.9,0.16328125,0.2425,0.7425,0.25283203125
claim_div,A,0.2,0,24,0.75,40,0.275,0.725,0.32421875,0.425,0.525,0.4325820312499999
claim_div,A,0.3,0,4,0.125,40,0.0,0.975,0.08984375,0.0,1.0,0.02391796875
claim_div,A,0.3,0,8,0.25,16,0.0,0.9375,0.08984375,0.0,1.0,0.0235546875
claim_div,A,0.3,0,12,0.375,16,0.0,1.0,0.091796875,0.00875,0.9884375,0.033681640625
claim_div,A,0.3,0,16,0.5,16,0.0,0.875,0.123046875,0.0603125,0.9303125,0.08671875
claim_div,A,0.3,0,20,0.625,40,0.075,0.725,0.21953125,0.2455,0.7278749999999999,0.26426171875
claim_div,A,0.3,0,24,0.75,40,0.4,0.525,0.47109375,0.39075,0.551375,0.4071601562499999
claim_div,A,0.3,1,4,0.125,16,0.0,1.0,0.07421875,0.0,1.0,0.022919921875
claim_div,A,0.3,1,8,0.25,16,0.0,1.0,0.083984375,0.0003125,0.999375,0.022861328125
claim_div,A,0.3,1,12,0.375,16,0.0,0.9375,0.109375,0.001875,0.9971875,0.02587890625
claim_div,A,0.3,1,16,0.5,16,0.0,0.9375,0.134765625,0.085625,0.9009375,0.111494140625
claim_div,A,0.3,1,20,0.625,16,0.0625,0.9375,0.16796875,0.2375,0.7365625,0.257177734375
claim_div,A,0.3,1,24,0.75,16,0.3125,0.625,0.404296875,0.4,0.549375,0.41353515625
claim_div,A,0.38,0,4,0.125,16,0.0,1.0,0.07421875,0.0,1.0,0.0271874999999999
claim_div,A,0.38,0,8,0.25,16,0.0,0.9375,0.09375,0.0,0.9996875,0.0273046875
claim_div,A,0.38,0,12,0.375,16,0.0,0.875,0.12890625,0.0053124999999999,0.9915625,0.037080078125
claim_div,A,0.38,0,16,0.5,40,0.025,0.9,0.1453125,0.0854999999999999,0.8962499999999999,0.118296875
claim_div,A,0.38,0,20,0.625,40,0.15,0.8,0.24375,0.23025,0.7393750000000001,0.25494140625
claim_div,A,0.38,0,24,0.75,40,0.35,0.525,0.45234375,0.393125,0.539875,0.4165312500000001
