claim_id,alpha,x0_n,x0,rep,x8,fails,correct,wrong
1013,0.3,2,0.0625,0,0.0,0,0.0,1.0
1013,0.3,2,0.0625,1,0.0,0,0.0,1.0
1013,0.3,6,0.1875,0,0.0,0,0.0,1.0
1013,0.3,6,0.1875,1,0.0,0,0.0,1.0
1013,0.3,10,0.3125,0,0.0,0,0.0,1.0
1013,0.3,10,0.3125,1,0.0,0,0.0,1.0
1013,0.3,14,0.4375,0,1.0,0,1.0,0.0
1013,0.3,14,0.4375,1,0.0,0,0.0,1.0
1013,0.3,18,0.5625,0,1.0,0,1.0,0.0
1013,0.3,18,0.5625,1,1.0,0,1.0,0.0
1013,0.3,22,0.6875,0,1.0,0,1.0,0.0
1013,0.3,22,0.6875,1,1.0,0,1.0,0.0
1013,0.3,26,0.8125,0,1.0,0,1.0,0.0
1013,0.3,26,0.8125,1,1.0,0,1.0,0.0
1013,0.3,30,0.9375,0,1.0,0,1.0,0.0
1013,0.3,30,0.9375,1,1.0,0,1.0,0.0
1013,0.55,2,0.0625,0,0.0,0,0.0,1.0
1013,0.55,2,0.0625,1,0.0,0,0.0,1.0
1013,0.55,6,0.1875,0,0.0,0,0.0,1.0
1013,0.55,6,0.1875,1,0.0,0,0.0,1.0
1013,0.55,10,0.3125,0,0.0,0,0.0,1.0
1013,0.55,10,0.3125,1,0.3125,0,0.0,1.0
1013,0.55,14,0.4375,0,1.0,0,1.0,0.0
1013,0.55,14,0.4375,1,1.0,0,1.0,0.0
1013,0.55,18,0.5625,0,1.0,0,1.0,0.0
1013,0.55,18,0.5625,1,1.0,0,1.0,0.0
1013,0.55,22,0.6875,0,1.0,0,1.0,0.0
1013,0.55,22,0.6875,1,1.0,0,1.0,0.0
1013,0.55,26,0.8125,0,1.0,0,1.0,0.0
1013,0.55,26,0.8125,1,1.0,0,1.0,0.0
1013,0.55,30,0.9375,0,1.0,0,1.0,0.0
1013,0.55,30,0.9375,1,1.0,0,1.0,0.0
1146,0.3,2,0.0625,0,1.0,0,1.0,0.0
1146,0.3,2,0.0625,1,1.0,0,1.0,0.0
1146,0.3,6,0.1875,0,1.0,0,1.0,0.0
