claim_id,k,c0,bT,bF,n
6,pooled,0.41769766406366654,3.089703998838263,-1.5328388425983022,336
6,2,6.769524738345509,27.23542641664728,-13.696376947673238,72
6,5,0.2267713442985669,2.4387525453169503,-1.3048951853731152,144
6,8,0.6469109680491774,8.411135982202778,-3.2358488463621056,120
382,pooled,10.466951623586466,15.882541926143519,-6.767028098704668,336
382,2,6.769524738345509,27.23542641664728,-13.696376947673238,72
382,5,2.317585827112166,16.33525861340538,-4.7473291691443045,144
382,8,0.7291918915385203,8.598849843549134,-2.765315085959663,120
993,pooled,1.4920327552377681,2.2606493446397877,-2.4263641224795753,336
993,2,0.5364792856228086,12.014207405906824,-10.94124878280246,72
993,5,0.05057923973039458,1.9990729108375773,-1.7461754977852115,144
993,8,0.026888090549990085,5.786666592406091,-5.5715628166257956,120
1103,pooled,-0.943287791344312,1.2324587704886438,-1.580004573992713,336
1103,2,-1.0451647353045905,11.175371843005403,-13.265701309671263,72
1103,5,-0.12049609893565726,1.002562058733196,-1.605042167783835,144
1103,8,-0.05146079754812466,0.730353137528341,-1.1420396976207108,120
1239,pooled,0.40098004130420933,1.4285888292757496,-2.2635844625507744,336
1239,2,-0.17027520352192294,10.894175011679897,-11.234725430808316,72
1239,5,-0.1338537568659254,1.6163705877010055,-2.285638591894867,144
1239,8,-0.07300567997234339,1.0984151185683593,-1.6824608682544246,120
1569,pooled,-0.2789722363145043,4.064211848650392,-1.1592534812588975,336
1569,2,6.769524738345509,27.23542641664728,-13.696376947673238,72
1569,5,0.3271718204494506,2.5132231263124,-0.8773637335790434,144
1569,8,0.7048239606781541,8.412269483976873,-2.7736766227130754,120
2070,pooled,-9.067509781451777,22.068486627584697,5.732702590859846,336
2070,2,6.918490870485772,16.09727952887132,-2.2602977952014682,72
2070,5,1.7759086250685452,4.439771381151884,4.439771381151884,144
2070,8,0.7321157757965981,2.928463327330788,2.9284633273307894,120
90006,pooled,0.6845952007240257,2.190247401577831,-2.3454671906382836,336
90006,2,0.17027522081169058,11.23472541408531,-10.894175012246658,72
90006,5,0.030079130040807957,2.1458693951462,-1.9954731931265162,144
90006,8,1.0106091878767123e-07,5.591852440799078,-5.591852466064308,120
90382,pooled,11.280286996928066,15.017370900999342,-6.529759011040579,336
90382,2,6.916876768362076,18.859938986886846,-5.026185485144064,72
90382,5,2.4741587388849307,16.95290686927177,-4.582113331907995,144
90382,8,0.7291918767012702,8.598849844027534,-2.765315083646254,120
91569,pooled,2.3189063538111028,0.5502043310899206,-1.01243578643224,336
91569,2,6.918044258771406,17.378637861220906,-3.542549170595098,72
91569,5,0.08735041047072122,1.1545525143283633,-0.717802287675825,144
91569,8,0.013460357301115139,0.5836247844147721,-0.4759376615210351,120
92070,pooled,0.6718001078780775,1.202689136839629,-0.35277458108531845,336
92070,2,6.917550184732628,17.96137600232788,-4.126275624040791,72
92070,5,0.2479757630578251,1.4998582192590495,-0.2599795950280077,144
92070,8,0.07759412952719055,0.8079002655425113,-0.18714726898065231,120
