variant,n_parsed,b_true,b_false,polarity_ratio,ci_lo,ci_hi,pilot_parse_rate,fewshot_prefix,model
instruct,5984,0.680687561445333,-0.4737879562926472,1.4366924114569282,1.2502841720603175,1.651063870980738,1.0,True,llama3.1:8b
base,294,0.0331664057332322,0.0158117356858486,2.0975815933298114,0.0519141102777414,44.75675264016569,0.015,True,llama3.1:8b-text-q4_K_M
ablit,5984,0.5430702773223501,-0.4368488150365753,1.2431538294933486,1.0505452851993318,1.4706915626813302,1.0,True,mannix/llama3.1-8b-abliterated
