name,alpha,x0_n,rho,claim_id,q_roll,wrong_roll
B1_armA_a0.30_x24_r09,0.3,24,0,382,1.0,0.0
B1_armA_a0.30_x24_r10,0.3,24,0,2070,1.0,0.0
B1_armA_a0.30_x24_r11,0.3,24,0,6,1.0,0.0
B1_armA_a0.30_x24_r12,0.3,24,0,1569,1.0,0.0
B1_armA_a0.30_x24_r13,0.3,24,0,382,1.0,0.0
B1_armA_a0.30_x24_r14,0.3,24,0,6,1.0,0.0
B1_armA_a0.30_x24_r15,0.3,24,0,2070,1.0,0.0
B1_armA_a0.38_x04_r00,0.38,4,0,1569,0.23,0.65
B1_armA_a0.38_x04_r01,0.38,4,0,2070,0.01,0.97
B1_armA_a0.38_x04_r02,0.38,4,0,6,0.045,0.92
B1_armA_a0.38_x04_r03,0.38,4,0,382,0.025,0.955
B1_armA_a0.38_x04_r04,0.38,4,0,6,0.025,0.94
B1_armA_a0.38_x04_r05,0.38,4,0,382,0.025,0.94
B1_armA_a0.38_x04_r06,0.38,4,0,1569,0.575,0.295
B1_armA_a0.38_x04_r07,0.38,4,0,2070,0.015,0.96
B1_armA_a0.38_x04_r08,0.38,4,0,6,0.015,0.95
B1_armA_a0.38_x04_r09,0.38,4,0,382,0.01,0.96
B1_armA_a0.38_x04_r10,0.38,4,0,2070,0.005,0.955
B1_armA_a0.38_x04_r11,0.38,4,0,1569,0.255,0.56
B1_armA_a0.38_x04_r12,0.38,4,0,2070,0.03,0.955
B1_armA_a0.38_x04_r13,0.38,4,0,1569,0.39,0.415
B1_armA_a0.38_x04_r14,0.38,4,0,6,0.02,0.92
B1_armA_a0.38_x04_r15,0.38,4,0,382,0.02,0.945
B1_armA_a0.38_x08_r00,0.38,8,0,382,0.085,0.85
B1_armA_a0.38_x08_r01,0.38,8,0,6,0.095,0.825
B1_armA_a0.38_x08_r02,0.38,8,0,1569,0.695,0.225
B1_armA_a0.38_x08_r03,0.38,8,0,2070,0.14,0.735
B1_armA_a0.38_x08_r04,0.38,8,0,382,0.125,0.81
B1_armA_a0.38_x08_r05,0.38,8,0,6,0.11,0.81
B1_armA_a0.38_x08_r06,0.38,8,0,2070,0.13,0.78
B1_armA_a0.38_x08_r07,0.38,8,0,1569,0.6,0.235
B1_armA_a0.38_x08_r08,0.38,8,0,2070,0.085,0.825
B1_armA_a0.38_x08_r09,0.38,8,0,6,0.145,0.785
B1_armA_a0.38_x08_r10,0.38,8,0,382,0.03,0.925
B1_armA_a0.38_x08_r11,0.38,8,0,1569,0.645,0.22
B1_armA_a0.38_x08_r12,0.38,8,0,2070,0.04,0.92
B1_armA_a0.38_x08_r13,0.38,8,0,382,0.08,0.85
B1_armA_a0.38_x08_r14,0.38,8,0,6,0.245,0.655
B1_armA_a0.38_x08_r15,0.38,8,0,1569,0.605,0.255
B1_armA_a0.38_x12_r00,0.38,12,0,2070,0.335,0.52
B1_armA_a0.38_x12_r01,0.38,12,0,6,0.35,0.505
B1_armA_a0.38_x12_r02,0.38,12,0,382,0.52,0.34
B1_armA_a0.38_x12_r03,0.38,12,0,1569,0.955,0.015
B1_armA_a0.38_x12_r04,0.38,12,0,382,0.68,0.24
B1_armA_a0.38_x12_r05,0.38,12,0,1569,0.94,0.035
B1_armA_a0.38_x12_r06,0.38,12,0,2070,0.525,0.38
B1_armA_a0.38_x12_r07,0.38,12,0,6,0.28,0.565
B1_armA_a0.38_x12_r08,0.38,12,0,6,0.275,0.62
