claim_id,k,c0,bT,bF,n
993,pooled,0.3347028740853306,0.9303132501195231,-0.5737189691270211,336
993,2,0.36112396476377895,1.780907267672942,-1.0586593643863123,72
993,5,0.08942191752987931,0.9658940061373723,-0.5187858625378678,144
993,8,0.041675103476054576,0.7518380902480465,-0.41843706844840844,120
1103,pooled,-0.529029307608118,0.5807983658393615,-0.21864051828846717,336
1103,2,-0.07564727026008848,0.665562378294295,-0.816856924459683,72
1103,5,0.030440918231554752,0.4957078930303406,-0.3435028866901498,144
1103,8,0.023638542973113214,0.42961853945186546,-0.24051036240113768,120
1239,pooled,0.3410612086715155,1.1291819956536953,-0.43246264959031794,336
1239,2,1.0495707099649099,3.5980820463507923,-1.4989406245902503,72
1239,5,0.12461738857730666,0.9710057302468036,-0.34791930733101245,144
1239,8,0.07935953405049995,0.9413475914181575,-0.30647113504654355,120
90006,pooled,0.28558809109717687,0.9729660615247683,-0.5241192359508079,336
90006,2,0.2239260496499522,1.1027873573409688,-0.6549352550125457,72
90006,5,0.13289111863558561,1.177931378634545,-0.5134752991839349,144
90006,8,0.046807296419239565,0.8008757324585025,-0.4264173481170008,120
90382,pooled,0.6240401841882405,0.8197943476321393,-0.4264089343202899,336
90382,2,0.4670700961572084,1.5744246967397983,-0.6402845109310877,72
90382,5,0.12863467602548956,1.0069251909050987,-0.3637514494440148,144
90382,8,0.0512518314538578,0.6767839470434697,-0.26676898157700807,120
91569,pooled,1.0046606899794863,0.5654062544875473,-0.4259106851350408,336
91569,2,0.538271648435248,1.6468810279438013,-0.5703377334622964,72
91569,5,0.10032441306716287,0.7152397673693531,-0.21361751232707168,144
91569,8,0.041098716836188265,0.6034521514642007,-0.2746635980914256,120
92070,pooled,3.0297754252902886,17.208081296685158,-0.1992071150024621,336
92070,2,6.918490872336618,16.09727952792458,-2.2602977961268915,72
92070,5,3.4102373552093566,17.253654859382475,-0.20246841173016178,144
92070,8,1.2143982371680029,9.70011092505812,0.015075354227068946,120
