claim_id,k,c0,bT,bF,n
97,pooled,0.05704439020624348,3.259692880164454,-0.023764670665103495,336
97,2,6.9180443278150126,17.378637841438106,-3.5425492051169014,72
97,5,3.694843946432803,19.246600027161257,-0.7723796047539677,144
97,8,0.19552175123726173,1.5894681615521615,-0.02529360312926272,120
184,pooled,20.319002019842365,0.786098817902356,0.7860988179023585,336
184,2,7.564783309286062,7.564783297766831,7.564783297766832,72
184,5,1.7759086250685452,4.439771381151884,4.439771381151884,144
184,8,0.7321157757965981,2.928463327330788,2.9284633273307894,120
590,pooled,-0.8427428747269845,2.1768196833174813,-2.147885101977101,336
590,2,-0.29576772660983053,10.880888997781069,-11.47242446426014,72
590,5,-0.05057953326554301,1.7461755564922399,-1.9990728521305463,144
590,8,-0.02100446253447686,5.563340353369719,-5.73137603261509,120
656,pooled,0.5023593463554322,3.3912824203461938,-1.5798002851428417,336
656,2,6.769524738345509,27.23542641664728,-13.696376947673238,72
656,5,0.38444919894586904,3.7419995110482938,-1.8197530944142022,144
656,8,0.09674826039764134,1.593794423320133,-0.8198080598423955,120
832,pooled,1.0014127938514255,1.8398530397031954,-1.8968730748549667,336
832,2,0.36620410528397446,11.6224980240189,-10.890089843010204,72
832,5,0.057884189272103315,1.668665224458307,-1.379243570878848,144
832,8,0.021004588660092187,5.731376034729944,-5.563340387015978,120
889,pooled,-1.2525109120904452,2.3720595387861287,0.0731048793728296,336
889,2,0.8023609364172484,3.5780443792259677,-1.9733224956525253,72
889,5,0.34651691830238496,1.933666660042606,-0.20108203364130608,144
889,8,0.14191554159988554,1.2007033528107138,-0.06537904031603893,120
1013,pooled,-0.1848072047150317,2.127041186824925,-1.8138045355776375,336
1013,2,-0.05568469457517834,10.953445293589311,-11.064814683307086,72
1013,5,0.09681889120056344,2.313294972002065,-1.8292000090101042,144
1013,8,0.02100453281327695,5.731376033652411,-5.56334037197674,120
1146,pooled,-0.14226034711918786,3.811576858029903,-1.3585140395387292,336
1146,2,1.0451647410467073,13.265701316220158,-11.175371855296417,72
1146,5,0.3309798426913516,2.7853968266753393,-1.1304963724359234,144
1146,8,0.6531362868237813,8.174206578271114,-2.949116103861654,120
1151,pooled,-0.7861047414118714,1.2177635640182343,-0.6681730888294932,336
1151,2,-0.17027520166328255,10.894175009253992,-11.234725430241053,72
1151,5,0.04499458602852698,1.015857609402248,-0.7908843569958368,144
1151,8,0.030494323051869863,0.795362101795818,-0.5514072865950715,120
1155,pooled,-0.3695755739869572,4.221659213447803,-1.2405603678789565,336
1155,2,1.0465254531524841,4.185080305926663,-2.0920294123703798,72
1155,5,0.4049511216515591,3.215652048531904,-1.1908958392087408,144
1155,8,0.6950937281100739,8.341613262001797,-2.7808621789571792,120
1531,pooled,0.19316990898699188,4.343685850336904,-0.9360020787815082,336
1531,2,6.91709707968591,18.491690359435793,-4.657496172584657,72
1531,5,0.5717757068768251,3.6217067134450383,-0.7628279275452836,144
1531,8,0.7917475790425279,9.0994337887775,-2.7654533154923664,120
1919,pooled,3.9804182475414023,16.919554736502736,-0.4103713425285073,336
1919,2,6.918519963361156,15.728552789471975,-1.891512866748862,72
1919,5,3.46042971854428,17.605052100485477,-0.3029039105784063,144
1919,8,1.233817908558507,9.938126858144852,-0.067583840605129,120
2091,pooled,0.2858303451701614,1.234628161951852,-0.9098682231353777,336
2091,2,0.23104907457033086,11.344221808892742,-10.882123704404172,72
2091,5,0.11214303806905036,1.3455780250366896,-0.7848620327262326,144
2091,8,0.026987277713192474,0.8899143271988147,-0.6740160976984265,120
2093,pooled,1.084036345210598,3.240385449211419,-1.3523672978431933,336
2093,2,6.917097074939439,18.49169036072763,-4.657496170211421,72
2093,5,0.32717179485989056,2.513223131430309,-0.8773637284611304,144
2093,8,0.6531363140387735,8.174206577510635,-2.949116108143993,120
2260,pooled,0.2569876094658533,0.808254193920957,-1.7107851484913947,336
2260,2,-0.2957677252580534,10.880888998346736,-11.472424466177584,72
2260,5,-0.1602982317439061,0.8352501552058098,-1.6367405691961168,144
2260,8,-0.06318266152975464,0.6297812543821613,-1.1352426585522908,120
2374,pooled,0.23709303277577257,0.9163306587603267,-1.7422645745722773,336
2374,2,-0.29576773763909076,10.880889006080187,-11.472424461529998,72
2374,5,-0.11963336242391744,0.8394397901177076,-1.437605556480796,144
2374,8,-0.07416838642463035,0.8116815017537706,-1.4050285964087847,120
2643,pooled,-0.765084248166294,2.7550408962216317,-1.5619537583103607,336
2643,2,0.2310490699158906,11.344221808159055,-10.882123699016045,72
2643,5,0.1241040462294208,2.2757190341492137,-1.655198783264228,144
2643,8,0.6463017132516322,8.701069539045003,-3.530655832936079,120
2656,pooled,0.9701764782173286,1.9255273548471945,-1.8217391625219987,336
2656,2,0.4450003281475956,11.799852806249609,-10.909852070605787,72
2656,5,0.10573375619901874,2.2891731023743023,-1.7605040888083399,144
2656,8,0.03465329064808486,1.2408315812345,-0.963605683474487,120
2782,pooled,1.304427703206676,1.7874950462035293,-1.544358035081737,336
2782,2,1.045164740401676,13.265701316607329,-11.175371855038554,72
2782,5,0.8194224145533932,12.7742889896383,-8.677176053013342,144
2782,8,0.043851137739179584,1.0585146968341594,-0.7077055087951186,120
2991,pooled,0.08771167821861227,1.8935336939612515,-1.5979943028911203,336
2991,2,0.2310490707163217,11.344221809777359,-10.88212370143478,72
2991,5,0.0331778520472666,1.7682387784119995,-1.6023486822723565,144
2991,8,0.041495620825607135,1.3144986800538718,-0.9825342830244669,120
