rule,arm,alpha,n_transitions,brier,brier_climatology,ece,mean_resid,mean_resid_contested,n_contested
perk17,A,0.2,43008,0.0951138080267339,0.17351832789899,0.0336657606053564,0.0159135024644728,-0.0172818668416083,5402
perk17,A,0.3,67584,0.1077296726171525,0.1930738697367266,0.0334835808017922,0.0211518420824732,0.0071302263955595,9255
perk17,A,0.38,43008,0.1196800998609428,0.2122606501287343,0.0295806788099928,0.0165767412925826,0.003026200530622,7685
perk17,A,0.45,43008,0.1123684870682763,0.1984162622568558,0.0321709023880907,0.0237824178013326,-0.0033690974882398,6868
perk17,A,0.55,43008,0.1272377291832393,0.2246692288759884,0.0270842929522131,0.0163846989551714,0.0013374448527152,10103
perk17,A,1.0,43008,0.1438829418856204,0.246509313583374,0.0299301205035941,0.0119611325700446,-0.0145844602738087,7533
perk17,B,0.6,25600,0.0902207628847185,0.2183966049194335,0.0265290560641878,-0.016575839102942,-0.0550437163204664,4446
perk17,B,0.9,25600,0.0993164949747759,0.2250828842163086,0.026506773729406,-0.0175306061660809,-0.0459441731308646,3420
perk17,B,1.3,25600,0.1145403594048188,0.2204186874389648,0.0352886983652171,-0.0190212369981121,-0.039655671175618,2240
claim_const,A,0.2,43008,0.099932462015135,0.17351832789899,0.0659874249037761,0.0405280600178136,0.0667097363651987,5402
claim_const,A,0.3,67584,0.1109855042987,0.1930738697367266,0.0595660612587827,0.0412308392900399,0.0594460809127303,9255
claim_const,A,0.38,43008,0.120892331197521,0.2122606501287343,0.0495876980326276,0.0295848159673012,0.0296888513267234,7685
claim_const,A,0.45,43008,0.1124539443673476,0.1984162622568558,0.0430530992694049,0.0341890317636671,0.0085724494386231,6868
claim_const,A,0.55,43008,0.1266877915823481,0.2246692288759884,0.0338908498910019,0.0220117354335952,0.0055563534685325,10103
claim_const,A,1.0,43008,0.1450030173053727,0.246509313583374,0.032279599993536,0.0062255949662403,-0.0220749786548085,7533
claim_const,B,0.6,25600,0.091103270671645,0.2183966049194335,0.040137630394314,-0.0269954896505445,-0.06320018193287,4446
claim_const,B,0.9,25600,0.1030810205513165,0.2250828842163086,0.057803338677236,-0.0347171672974777,-0.0569434998959459,3420
claim_const,B,1.3,25600,0.1214262726339076,0.2204186874389648,0.0705670237257655,-0.0492151562685267,-0.0564510456306417,2240
claim_div,A,0.2,43008,0.0942550630855213,0.17351832789899,0.033643435570064,0.0110082956450805,-0.033175724887593,5402
claim_div,A,0.3,67584,0.1071644835761215,0.1930738697367266,0.0362436214731323,0.019733295039044,-0.0024350296465676,9255
claim_div,A,0.38,43008,0.1193013604934283,0.2122606501287343,0.0352211478043183,0.0150789896939961,-0.0057154488810694,7685
claim_div,A,0.45,43008,0.1118972908020449,0.1984162622568558,0.0383601989663508,0.0260454528425495,-0.0107096822466593,6868
claim_div,A,0.55,43008,0.1270992245054671,0.2246692288759884,0.0371969714160161,0.0189496939729097,0.0006231524578935,10103
claim_div,A,1.0,43008,0.1444418588297199,0.246509313583374,0.0438251897319479,0.0255130191196206,0.0022856036956148,7533
claim_div,B,0.6,25600,0.0895715638651276,0.2183966049194335,0.0231891615052774,-0.0164514671593786,-0.0564167191671714,4446
claim_div,B,0.9,25600,0.0982823835758738,0.2250828842163086,0.0264549343572959,-0.0170014462874986,-0.0463313557442373,3420
claim_div,B,1.3,25600,0.1135939260626335,0.2204186874389648,0.0366005478821759,-0.0191166011770365,-0.0437115820130429,2240
legacy,A,0.2,43008,0.102821791252084,0.17351832789899,0.0518935318521194,-0.0488292062608357,-0.2001135050621297,5402
legacy,A,0.3,67584,0.1149289285586041,0.1930738697367266,0.0591268778280777,-0.0572334937033152,-0.1812352615527222,9255
legacy,A,0.38,43008,0.1297634731188923,0.2122606501287343,0.0756693922750022,-0.0756693922750022,-0.1859646429077921,7685
legacy,A,0.45,43008,0.1192683786730045,0.1984162622568558,0.0629478634722281,-0.0629478634722281,-0.191111728619915,6868
legacy,A,0.55,43008,0.1383757372215467,0.2246692288759884,0.0851437411728927,-0.0851437411728927,-0.1844605912125195,10103
legacy,A,1.0,43008,0.1581402765699964,0.246509313583374,0.1014241866311724,-0.1014241866311724,-0.2046112103645539,7533
legacy,B,0.6,25600,0.1202254758927534,0.2183966049194335,0.0858159457912333,-0.0858159457912333,-0.1984270859004519,4446
legacy,B,0.9,25600,0.1316573276183645,0.2250828842163086,0.1066833525941051,-0.1066833525941052,-0.211916144065083,3420
legacy,B,1.3,25600,0.1543381516815834,0.2204186874389648,0.1338655950007094,-0.1338655950007094,-0.26099008449468,2240
