model,alpha,Ek,x,stability,h,beta
qwn,1.2,3.297238205584458,0.26644001344828827,unstable,0.7875,1.7965
qwn,1.2,3.297238205584458,0.9977409311925147,stable,0.7875,1.7965
qwn,1.25,3.208082497680546,0.028551945725044242,stable,0.7875,1.7965
qwn,1.25,3.208082497680546,0.24733653318123228,unstable,0.7875,1.7965
qwn,1.25,3.208082497680546,0.9973413718298689,stable,0.7875,1.7965
qwn,1.3,3.1244778965202817,0.03806480566216443,stable,0.7875,1.7965
qwn,1.3,3.1244778965202817,0.22453759768789516,unstable,0.7875,1.7965
qwn,1.3,3.1244778965202817,0.9968963766940508,stable,0.7875,1.7965
qwn,1.35,3.0458225486093227,0.05249875537205373,stable,0.7875,1.7965
qwn,1.35,3.0458225486093227,0.19565314537872164,unstable,0.7875,1.7965
qwn,1.35,3.0458225486093227,0.9964050833515872,stable,0.7875,1.7965
qwn,1.4,2.9716134772964704,0.08097455522951838,stable,0.7875,1.7965
qwn,1.4,2.9716134772964704,0.15139404465950418,unstable,0.7875,1.7965
qwn,1.4,2.9716134772964704,0.9958673983123774,stable,0.7875,1.7965
qwn,1.45,2.901440359125475,0.9952839425354345,stable,0.7875,1.7965
qwn,1.5,2.834975874764509,0.9946559412999216,stable,0.7875,1.7965
qwn,1.55,2.7719632041370468,0.9939850716082599,stable,0.7875,1.7965
qwn,1.6,2.712201830353747,0.9932732804961775,stable,0.7875,1.7965
qwn,1.65,2.6555329727250454,0.9925225872603227,stable,0.7875,1.7965
qwn,1.7,2.6018258276052033,0.9917348821751026,stable,0.7875,1.7965
qwn,1.75,2.5509654974012386,0.9909117338144786,stable,0.7875,1.7965
qwn,1.8,2.502843142922365,0.9900542164085115,stable,0.7875,1.7965
qwn,1.85,2.4573485744105774,0.9891627674922663,stable,0.7875,1.7965
qwn,1.9,2.4143652399570135,0.9882370842528785,stable,0.7875,1.7965
qwn,1.95,2.3737673890340147,0.9872760644308405,stable,0.7875,1.7965
qwn,2.0,2.335419079922728,0.9862777945379342,stable,0.7875,1.7965
qwn,2.05,2.299174650873623,0.9852395848132651,stable,0.7875,1.7965
qwn,2.1,2.264880270968331,0.9841580471186657,stable,0.7875,1.7965
qwn,2.15,2.232376213357604,0.9830292092276653,stable,0.7875,1.7965
qwn,2.2,2.20149953848256,0.9818486569787666,stable,0.7875,1.7965
qwn,2.25,2.1720869284584152,0.980611694674062,stable,0.7875,1.7965
qwn,2.3,2.1439774691343962,0.9793135139480589,stable,0.7875,1.7965
qwn,2.35,2.1170152289017423,0.977949361983689,stable,0.7875,1.7965
qwn,2.4,2.091051530407067,0.9765147012286046,stable,0.7875,1.7965
qwn,2.45,2.0659468516070185,0.9750053544288007,stable,0.7875,1.7965
qwn,2.5,2.0415723256799696,0.9734176306140587,stable,0.7875,1.7965
qwn,2.55,2.017810835412379,0.9717484294396346,stable,0.7875,1.7965
qwn,2.6,1.9945577173868316,0.9699953228610232,stable,0.7875,1.7965
qwn,2.65,1.9717211053907264,0.9681566144017326,stable,0.7875,1.7965
qwn,2.7,1.9492219517852951,0.9662313772299931,stable,0.7875,1.7965
qwn,2.75,1.9269937709651137,0.9642194728954514,stable,0.7875,1.7965
qwn,2.8,1.9049821512876646,0.9621215529272225,stable,0.7875,1.7965
qwn,2.85,1.883144081673814,0.9599390456163615,stable,0.7875,1.7965
qwn,2.9,1.861447137096837,0.9576741302529437,stable,0.7875,1.7965
qwn,2.95,1.839868563922657,0.9553297009342328,stable,0.7875,1.7965
qwn,3.0,1.8183943019810287,0.9529093218328966,stable,0.7875,1.7965
lma,0.1,14.348020496234245,0.500027949337899,unstable,-0.0010000000000000009,1.8170000000000002
lma,0.15,11.79004296848671,0.500035683305772,unstable,-0.0010000000000000009,1.8170000000000002
lma,0.2,10.119499085585277,0.5000433931999906,unstable,-0.0010000000000000009,1.8170000000000002
lma,0.25,8.927251374086925,0.5000511750568974,unstable,-0.0010000000000000009,1.8170000000000002
lma,0.3,8.026130444333326,2.337912570392403e-06,stable,-0.0010000000000000009,1.8170000000000002
lma,0.3,8.026130444333326,0.5000590802530669,unstable,-0.0010000000000000009,1.8170000000000002
lma,0.3,8.026130444333326,0.9999976574048006,stable,-0.0010000000000000009,1.8170000000000002
lma,0.35,7.31705197051372,6.709895683216863e-06,stable,-0.0010000000000000009,1.8170000000000002
lma,0.35,7.31705197051372,0.5000671356304363,unstable,-0.0010000000000000009,1.8170000000000002
lma,0.35,7.31705197051372,0.9999932766544908,stable,-0.0010000000000000009,1.8170000000000002
lma,0.4,6.742142529434745,1.5866316115224532e-05,stable,-0.0010000000000000009,1.8170000000000002
lma,0.4,6.742142529434745,0.5000754715126356,unstable,-0.0010000000000000009,1.8170000000000002
lma,0.4,6.742142529434745,0.9999841018322351,stable,-0.0010000000000000009,1.8170000000000002
lma,0.45,6.265105451174446,3.25677919804054e-05,stable,-0.0010000000000000009,1.8170000000000002
lma,0.45,6.265105451174446,0.500084042156242,unstable,-0.0010000000000000009,1.8170000000000002
lma,0.45,6.265105451174446,0.9999673666610707,stable,-0.0010000000000000009,1.8170000000000002
lma,0.5,5.8619109397447335,6.008524939599415e-05,stable,-0.0010000000000000009,1.8170000000000002
lma,0.5,5.8619109397447335,0.500092694980039,unstable,-0.0010000000000000009,1.8170000000000002
lma,0.5,5.8619109397447335,0.9999397933500529,stable,-0.0010000000000000009,1.8170000000000002
lma,0.55,5.515958159886482,0.00010208661824709966,stable,-0.0010000000000000009,1.8170000000000002
lma,0.55,5.515958159886482,0.5001014856658121,unstable,-0.0010000000000000009,1.8170000000000002
lma,0.55,5.515958159886482,0.9998977059832503,stable,-0.0010000000000000009,1.8170000000000002
lma,0.6,5.215377221626895,0.00016255215792116193,stable,-0.0010000000000000009,1.8170000000000002
lma,0.6,5.215377221626895,0.5001106765210828,unstable,-0.0010000000000000009,1.8170000000000002
lma,0.6,5.215377221626895,0.9998371151843046,stable,-0.0010000000000000009,1.8170000000000002
lma,0.65,4.951435933650238,0.00024569362366892993,stable,-0.0010000000000000009,1.8170000000000002
lma,0.65,4.951435933650238,0.5001205107841218,unstable,-0.0010000000000000009,1.8170000000000002
lma,0.65,4.951435933650238,0.9997537989018532,stable,-0.0010000000000000009,1.8170000000000002
lma,0.7,4.717552125575771,0.00035585748884686956,stable,-0.0010000000000000009,1.8170000000000002
lma,0.7,4.717552125575771,0.5001310509987642,unstable,-0.0010000000000000009,1.8170000000000002
lma,0.7,4.717552125575771,0.9996433991585785,stable,-0.0010000000000000009,1.8170000000000002
lma,0.75,4.508658521018562,0.00049745275040264,stable,-0.0010000000000000009,1.8170000000000002
lma,0.75,4.508658521018562,0.5001421712850282,unstable,-0.0010000000000000009,1.8170000000000002
lma,0.75,4.508658521018562,0.9995014941802975,stable,-0.0010000000000000009,1.8170000000000002
lma,0.8,4.3207859278794105,0.0006749796995990354,stable,-0.0010000000000000009,1.8170000000000002
lma,0.8,4.3207859278794105,0.500153643979576,unstable,-0.0010000000000000009,1.8170000000000002
lma,0.8,4.3207859278794105,0.9993235693805333,stable,-0.0010000000000000009,1.8170000000000002
lma,0.85,4.150784957425504,0.0008931986570510652,stable,-0.0010000000000000009,1.8170000000000002
lma,0.85,4.150784957425504,0.500165241694944,unstable,-0.0010000000000000009,1.8170000000000002
lma,0.85,4.150784957425504,0.9991048481109466,stable,-0.0010000000000000009,1.8170000000000002
lma,0.9,3.996132352265777,0.001157399324020801,stable,-0.0010000000000000009,1.8170000000000002
lma,0.9,3.996132352265777,0.500176810228445,unstable,-0.0010000000000000009,1.8170000000000002
lma,0.9,3.996132352265777,0.9988400215612556,stable,-0.0010000000000000009,1.8170000000000002
lma,0.95,3.8547861661368987,0.0014736737683674586,stable,-0.0010000000000000009,1.8170000000000002
lma,0.95,3.8547861661368987,0.5001883014253117,unstable,-0.0010000000000000009,1.8170000000000002
lma,0.95,3.8547861661368987,0.9985229749306641,stable,-0.0010000000000000009,1.8170000000000002
lma,1.0,3.7250704942696817,0.0018490917812771842,stable,-0.0010000000000000009,1.8170000000000002
lma,1.0,3.7250704942696817,0.5001997735269434,unstable,-0.0010000000000000009,1.8170000000000002
lma,1.0,3.7250704942696817,0.9981466113031161,stable,-0.0010000000000000009,1.8170000000000002
lma,1.05,3.6055829386563936,0.0022917185552066427,stable,-0.0010000000000000009,1.8170000000000002
lma,1.05,3.6055829386563936,0.5002113722315848,unstable,-0.0010000000000000009,1.8170000000000002
lma,1.05,3.6055829386563936,0.9977028333883309,stable,-0.0010000000000000009,1.8170000000000002
lma,1.1,3.49512412333907,0.0028104727668048857,stable,-0.0010000000000000009,1.8170000000000002
lma,1.1,3.49512412333907,0.5002233043449233,unstable,-0.0010000000000000009,1.8170000000000002
lma,1.1,3.49512412333907,0.9971826850677994,stable,-0.0010000000000000009,1.8170000000000002
lma,1.15,3.3926491011996207,0.003414870891387386,stable,-0.0010000000000000009,1.8170000000000002
lma,1.15,3.3926491011996207,0.5002358120083399,unstable,-0.0010000000000000009,1.8170000000000002
lma,1.15,3.3926491011996207,0.9965766068517672,stable,-0.0010000000000000009,1.8170000000000002
lma,1.2,3.297238205584458,0.004114726465540529,stable,-0.0010000000000000009,1.8170000000000002
lma,1.2,3.297238205584458,0.5002491516271002,unstable,-0.0010000000000000009,1.8170000000000002
lma,1.2,3.297238205584458,0.995874736411003,stable,-0.0010000000000000009,1.8170000000000002
lma,1.25,3.208082497680546,0.00491987068782305,stable,-0.0010000000000000009,1.8170000000000002
lma,1.25,3.208082497680546,0.5002635788052112,unstable,-0.0010000000000000009,1.8170000000000002
lma,1.25,3.208082497680546,0.9950671876641193,stable,-0.0010000000000000009,1.8170000000000002
lma,1.3,3.1244778965202817,0.005839941991153104,stable,-0.0010000000000000009,1.8170000000000002
lma,1.3,3.1244778965202817,0.500279338933348,unstable,-0.0010000000000000009,1.8170000000000002
lma,1.3,3.1244778965202817,0.994144260687603,stable,-0.0010000000000000009,1.8170000000000002
lma,1.35,3.0458225486093227,0.00688426827906498,stable,-0.0010000000000000009,1.8170000000000002
lma,1.35,3.0458225486093227,0.5002966623177154,unstable,-0.0010000000000000009,1.8170000000000002
lma,1.35,3.0458225486093227,0.9930965586985345,stable,-0.0010000000000000009,1.8170000000000002
lma,1.4,2.9716134772964704,0.008061845041445269,stable,-0.0010000000000000009,1.8170000000000002
lma,1.4,2.9716134772964704,0.500315762545787,unstable,-0.0010000000000000009,1.8170000000000002
lma,1.4,2.9716134772964704,0.9919150088835766,stable,-0.0010000000000000009,1.8170000000000002
lma,1.45,2.901440359125475,0.00938139962044605,stable,-0.0010000000000000009,1.8170000000000002
lma,1.45,2.901440359125475,0.5003368369190693,unstable,-0.0010000000000000009,1.8170000000000002
lma,1.45,2.901440359125475,0.9905907968123355,stable,-0.0010000000000000009,1.8170000000000002
lma,1.5,2.834975874764509,0.010851526556444873,stable,-0.0010000000000000009,1.8170000000000002
lma,1.5,2.834975874764509,0.5003600680468283,unstable,-0.0010000000000000009,1.8170000000000002
lma,1.5,2.834975874764509,0.9891152295256118,stable,-0.0010000000000000009,1.8170000000000002
lma,1.55,2.7719632041370468,0.012480879045564258,stable,-0.0010000000000000009,1.8170000000000002
lma,1.55,2.7719632041370468,0.5003856259996446,unstable,-0.0010000000000000009,1.8170000000000002
lma,1.55,2.7719632041370468,0.9874795422754907,stable,-0.0010000000000000009,1.8170000000000002
lma,1.6,2.712201830353747,0.014278404380578168,stable,-0.0010000000000000009,1.8170000000000002
lma,1.6,2.712201830353747,0.5004136707028735,unstable,-0.0010000000000000009,1.8170000000000002
lma,1.6,2.712201830353747,0.9856746610331173,stable,-0.0010000000000000009,1.8170000000000002
lma,1.65,2.6555329727250454,0.01625361462074832,stable,-0.0010000000000000009,1.8170000000000002
lma,1.65,2.6555329727250454,0.5004443544861483,unstable,-0.0010000000000000009,1.8170000000000002
lma,1.65,2.6555329727250454,0.983690929477832,stable,-0.0010000000000000009,1.8170000000000002
lma,1.7,2.6018258276052033,0.018416886312108395,stable,-0.0010000000000000009,1.8170000000000002
lma,1.7,2.6018258276052033,0.5004778248919066,unstable,-0.0010000000000000009,1.8170000000000002
lma,1.7,2.6018258276052033,0.9815178065703354,stable,-0.0010000000000000009,1.8170000000000002
lma,1.75,2.5509654974012386,0.020779784353541157,stable,-0.0010000000000000009,1.8170000000000002
lma,1.75,2.5509654974012386,0.500514227980118,unstable,-0.0010000000000000009,1.8170000000000002
lma,1.75,2.5509654974012386,0.9791435395049073,stable,-0.0010000000000000009,1.8170000000000002
lma,1.8,2.502843142922365,0.023355405177851035,stable,-0.0010000000000000009,1.8170000000000002
lma,1.8,2.502843142922365,0.5005537124675918,unstable,-0.0010000000000000009,1.8170000000000002
lma,1.8,2.502843142922365,0.9765548167158873,stable,-0.0010000000000000009,1.8170000000000002
lma,1.85,2.4573485744105774,0.026158733762038984,stable,-0.0010000000000000009,1.8170000000000002
lma,1.85,2.4573485744105774,0.5005964351028063,unstable,-0.0010000000000000009,1.8170000000000002
lma,1.85,2.4573485744105774,0.9737364062226725,stable,-0.0010000000000000009,1.8170000000000002
lma,1.9,2.4143652399570135,0.02920700824340189,stable,-0.0010000000000000009,1.8170000000000002
lma,1.9,2.4143652399570135,0.500642567721441,unstable,-0.0010000000000000009,1.8170000000000002
lma,1.9,2.4143652399570135,0.9706707852740943,stable,-0.0010000000000000009,1.8170000000000002
lma,1.95,2.3737673890340147,0.032520085775076826,stable,-0.0010000000000000009,1.8170000000000002
lma,1.95,2.3737673890340147,0.5006923064601319,unstable,-0.0010000000000000009,1.8170000000000002
lma,1.95,2.3737673890340147,0.9673377673193093,stable,-0.0010000000000000009,1.8170000000000002
lma,2.0,2.335419079922728,0.03612080430741399,stable,-0.0010000000000000009,1.8170000000000002
lma,2.0,2.335419079922728,0.5007458836437206,unstable,-0.0010000000000000009,1.8170000000000002
lma,2.0,2.335419079922728,0.963714131175651,stable,-0.0010000000000000009,1.8170000000000002
lma,2.05,2.299174650873623,0.040035337677277794,stable,-0.0010000000000000009,1.8170000000000002
lma,2.05,2.299174650873623,0.5008035829273438,unstable,-0.0010000000000000009,1.8170000000000002
lma,2.05,2.299174650873623,0.9597732544222086,stable,-0.0010000000000000009,1.8170000000000002
lma,2.1,2.264880270968331,0.044293545972992815,stable,-0.0010000000000000009,1.8170000000000002
lma,2.1,2.264880270968331,0.5008657583986307,unstable,-0.0010000000000000009,1.8170000000000002
lma,2.1,2.264880270968331,0.9554847482537911,stable,-0.0010000000000000009,1.8170000000000002
lma,2.15,2.232376213357604,0.04892932966250414,stable,-0.0010000000000000009,1.8170000000000002
lma,2.15,2.232376213357604,0.5009328585803383,unstable,-0.0010000000000000009,1.8170000000000002
lma,2.15,2.232376213357604,0.9508140841962573,stable,-0.0010000000000000009,1.8170000000000002
lma,2.2,2.20149953848256,0.053981004322911974,stable,-0.0010000000000000009,1.8170000000000002
lma,2.2,2.20149953848256,0.5010054566562823,unstable,-0.0010000000000000009,1.8170000000000002
lma,2.2,2.20149953848256,0.9457221942882006,stable,-0.0010000000000000009,1.8170000000000002
lma,2.25,2.1720869284584152,0.05949172286122999,stable,-0.0010000000000000009,1.8170000000000002
lma,2.25,2.1720869284584152,0.5010842889020029,unstable,-0.0010000000000000009,1.8170000000000002
lma,2.25,2.1720869284584152,0.9401650155849157,stable,-0.0010000000000000009,1.8170000000000002
lma,2.3,2.1439774691343962,0.06550998390229174,stable,-0.0010000000000000009,1.8170000000000002
lma,2.3,2.1439774691343962,0.5011703043225084,unstable,-0.0010000000000000009,1.8170000000000002
lma,2.3,2.1439774691343962,0.9340929370239326,stable,-0.0010000000000000009,1.8170000000000002
lma,2.35,2.1170152289017423,0.0720902789929197,stable,-0.0010000000000000009,1.8170000000000002
lma,2.35,2.1170152289017423,0.5012647301273292,unstable,-0.0010000000000000009,1.8170000000000002
lma,2.35,2.1170152289017423,0.9274500911106078,stable,-0.0010000000000000009,1.8170000000000002
lma,2.4,2.091051530407067,0.07929394863772857,stable,-0.0010000000000000009,1.8170000000000002
lma,2.4,2.091051530407067,0.5013691602484602,unstable,-0.0010000000000000009,1.8170000000000002
lma,2.4,2.091051530407067,0.9201734129871668,stable,-0.0010000000000000009,1.8170000000000002
lma,2.45,2.0659468516070185,0.08719034036074003,stable,-0.0010000000000000009,1.8170000000000002
lma,2.45,2.0659468516070185,0.5014856782592478,unstable,-0.0010000000000000009,1.8170000000000002
lma,2.45,2.0659468516070185,0.9121913621828024,stable,-0.0010000000000000009,1.8170000000000002
lma,2.5,2.0415723256799696,0.09585839532446067,stable,-0.0010000000000000009,1.8170000000000002
lma,2.5,2.0415723256799696,0.5016170329244858,unstable,-0.0010000000000000009,1.8170000000000002
lma,2.5,2.0415723256799696,0.9034221622082628,stable,-0.0010000000000000009,1.8170000000000002
lma,2.55,2.017810835412379,0.10538884105665919,stable,-0.0010000000000000009,1.8170000000000002
lma,2.55,2.017810835412379,0.5017668963588584,unstable,-0.0010000000000000009,1.8170000000000002
lma,2.55,2.017810835412379,0.893771350467867,stable,-0.0010000000000000009,1.8170000000000002
lma,2.6,1.9945577173868316,0.11588724961415783,stable,-0.0010000000000000009,1.8170000000000002
lma,2.6,1.9945577173868316,0.5019402556205581,unstable,-0.0010000000000000009,1.8170000000000002
lma,2.6,1.9945577173868316,0.8831283284000067,stable,-0.0010000000000000009,1.8170000000000002
lma,2.65,1.9717211053907264,0.12747835647480749,stable,-0.0010000000000000009,1.8170000000000002
lma,2.65,1.9717211053907264,0.5021440271796249,unstable,-0.0010000000000000009,1.8170000000000002
lma,2.65,1.9717211053907264,0.8713614272342243,stable,-0.0010000000000000009,1.8170000000000002
lma,2.7,1.9492219517852951,0.14031226940046043,stable,-0.0010000000000000009,1.8170000000000002
lma,2.7,1.9492219517852951,0.502388058757365,unstable,-0.0010000000000000009,1.8170000000000002
lma,2.7,1.9492219517852951,0.858310695778483,stable,-0.0010000000000000009,1.8170000000000002
lma,2.75,1.9269937709651137,0.15457361472182463,stable,-0.0010000000000000009,1.8170000000000002
lma,2.75,1.9269937709651137,0.5026868373504378,unstable,-0.0010000000000000009,1.8170000000000002
lma,2.75,1.9269937709651137,0.8437770441405024,stable,-0.0010000000000000009,1.8170000000000002
lma,2.8,1.9049821512876646,0.17049545101670677,stable,-0.0010000000000000009,1.8170000000000002
lma,2.8,1.9049821512876646,0.5030625613437663,unstable,-0.0010000000000000009,1.8170000000000002
lma,2.8,1.9049821512876646,0.8275052556750762,stable,-0.0010000000000000009,1.8170000000000002
lma,2.85,1.883144081673814,0.18838132861379764,stable,-0.0010000000000000009,1.8170000000000002
lma,2.85,1.883144081673814,0.5035510422848775,unstable,-0.0010000000000000009,1.8170000000000002
lma,2.85,1.883144081673814,0.8091560233067712,stable,-0.0010000000000000009,1.8170000000000002
lma,2.9,1.861447137096837,0.2086421563072453,stable,-0.0010000000000000009,1.8170000000000002
lma,2.9,1.861447137096837,0.5042140291636137,unstable,-0.0010000000000000009,1.8170000000000002
lma,2.9,1.861447137096837,0.7882567561307476,stable,-0.0010000000000000009,1.8170000000000002
lma,2.95,1.839868563922657,0.23186212053325128,stable,-0.0010000000000000009,1.8170000000000002
lma,2.95,1.839868563922657,0.5051679273077374,unstable,-0.0010000000000000009,1.8170000000000002
lma,2.95,1.839868563922657,0.7641069390352497,stable,-0.0010000000000000009,1.8170000000000002
lma,3.0,1.8183943019810287,0.25892742499908705,stable,-0.0010000000000000009,1.8170000000000002
lma,3.0,1.8183943019810287,0.5066617006277447,unstable,-0.0010000000000000009,1.8170000000000002
lma,3.0,1.8183943019810287,0.7355714886993117,stable,-0.0010000000000000009,1.8170000000000002
