[78/288] S2b_A1_supports_c1239_a0.30_x12_r03 417s ETA 7.7h
[79/288] S2b_A1_supports_c993_a0.30_x20_r03 420s ETA 7.9h
[80/288] S2b_A1_supports_c1103_a0.30_x20_r03 421s ETA 7.8h
[81/288] S2b_A1_supports_c1239_a0.30_x20_r03 420s ETA 7.6h
[82/288] S2b_A1_supports_c993_a0.30_x28_r03 417s ETA 7.8h
[83/288] S2b_A1_supports_c1103_a0.30_x28_r03 417s ETA 7.7h
[84/288] S2b_A1_supports_c1239_a0.30_x28_r03 417s ETA 7.5h
[85/288] S2b_A1_supports_c993_a0.55_x04_r03 368s ETA 7.6h
[86/288] S2b_A1_supports_c1103_a0.55_x04_r03 365s ETA 7.5h
[87/288] S2b_A1_supports_c1239_a0.55_x04_r03 363s ETA 7.4h
[88/288] S2b_A1_supports_c993_a0.55_x12_r03 364s ETA 7.5h
[89/288] S2b_A1_supports_c1103_a0.55_x12_r03 363s ETA 7.4h
[90/288] S2b_A1_supports_c1239_a0.55_x12_r03 362s ETA 7.3h
[91/288] S2b_A1_supports_c993_a0.55_x20_r03 359s ETA 7.4h
[92/288] S2b_A1_supports_c1103_a0.55_x20_r03 360s ETA 7.3h
[93/288] S2b_A1_supports_c1239_a0.55_x20_r03 361s ETA 7.1h
[94/288] S2b_A1_supports_c993_a0.55_x28_r03 361s ETA 7.2h
[95/288] S2b_A1_supports_c1103_a0.55_x28_r03 361s ETA 7.1h
[96/288] S2b_A1_supports_c1239_a0.55_x28_r03 362s ETA 7.0h
[97/288] S2b_A1_supports_c993_a0.30_x04_r04 416s ETA 7.1h
[98/288] S2b_A1_supports_c1103_a0.30_x04_r04 418s ETA 7.0h
[99/288] S2b_A1_supports_c1239_a0.30_x04_r04 419s ETA 6.9h
[100/288] S2b_A1_supports_c993_a0.30_x12_r04 410s ETA 7.0h
[101/288] S2b_A1_supports_c1103_a0.30_x12_r04 409s ETA 6.9h
[102/288] S2b_A1_supports_c1239_a0.30_x12_r04 409s ETA 6.8h
[103/288] S2b_A1_supports_c993_a0.30_x20_r04 406s ETA 6.9h
[104/288] S2b_A1_supports_c1103_a0.30_x20_r04 406s ETA 6.8h
[105/288] S2b_A1_supports_c1239_a0.30_x20_r04 407s ETA 6.7h
[106/288] S2b_A1_supports_c993_a0.30_x28_r04 413s ETA 6.8h
[107/288] S2b_A1_supports_c1103_a0.30_x28_r04 413s ETA 6.7h
[108/288] S2b_A1_supports_c1239_a0.30_x28_r04 412s ETA 6.6h
[109/288] S2b_A1_supports_c993_a0.55_x04_r04 363s ETA 6.7h
[110/288] S2b_A1_supports_c1103_a0.55_x04_r04 362s ETA 6.6h
[111/288] S2b_A1_supports_c1239_a0.55_x04_r04 359s ETA 6.5h
[112/288] S2b_A1_supports_c993_a0.55_x12_r04 367s ETA 6.5h
[113/288] S2b_A1_supports_c1103_a0.55_x12_r04 367s ETA 6.4h
[114/288] S2b_A1_supports_c1239_a0.55_x12_r04 368s ETA 6.4h
[115/288] S2b_A1_supports_c993_a0.55_x20_r04 358s ETA 6.4h
[116/288] S2b_A1_supports_c1103_a0.55_x20_r04 358s ETA 6.3h
[117/288] S2b_A1_supports_c1239_a0.55_x20_r04 356s ETA 6.2h
[118/288] S2b_A1_supports_c993_a0.55_x28_r04 360s ETA 6.3h
[119/288] S2b_A1_supports_c1103_a0.55_x28_r04 361s ETA 6.2h
[120/288] S2b_A1_supports_c1239_a0.55_x28_r04 362s ETA 6.1h
[121/288] S2b_A1_supports_c993_a0.30_x04_r05 413s ETA 6.2h
[122/288] S2b_A1_supports_c1103_a0.30_x04_r05 413s ETA 6.1h
[123/288] S2b_A1_supports_c1239_a0.30_x04_r05 416s ETA 6.0h
[124/288] S2b_A1_supports_c993_a0.30_x12_r05 416s ETA 6.1h
[125/288] S2b_A1_supports_c1103_a0.30_x12_r05 417s ETA 6.0h
[126/288] S2b_A1_supports_c1239_a0.30_x12_r05 415s ETA 5.9h
[127/288] S2b_A1_supports_c993_a0.30_x20_r05 414s ETA 6.0h
[128/288] S2b_A1_supports_c1103_a0.30_x20_r05 414s ETA 5.9h
[129/288] S2b_A1_supports_c1239_a0.30_x20_r05 415s ETA 5.8h
[130/288] S2b_A1_supports_c993_a0.30_x28_r05 414s ETA 5.9h
[131/288] S2b_A1_supports_c1103_a0.30_x28_r05 415s ETA 5.8h
[132/288] S2b_A1_supports_c1239_a0.30_x28_r05 416s ETA 5.7h
[133/288] S2b_A1_supports_c993_a0.55_x04_r05 366s ETA 5.7h
[134/288] S2b_A1_supports_c1103_a0.55_x04_r05 363s ETA 5.7h
[135/288] S2b_A1_supports_c1239_a0.55_x04_r05 359s ETA 5.6h
[136/288] S2b_A1_supports_c993_a0.55_x12_r05 360s ETA 5.6h
[137/288] S2b_A1_supports_c1103_a0.55_x12_r05 360s ETA 5.5h
[138/288] S2b_A1_supports_c1239_a0.55_x12_r05 360s ETA 5.5h
[139/288] S2b_A1_supports_c993_a0.55_x20_r05 364s ETA 5.5h
[140/288] S2b_A1_supports_c1103_a0.55_x20_r05 365s ETA 5.4h
[141/288] S2b_A1_supports_c1239_a0.55_x20_r05 365s ETA 5.3h
[142/288] S2b_A1_supports_c993_a0.55_x28_r05 357s ETA 5.4h
[143/288] S2b_A1_supports_c1103_a0.55_x28_r05 356s ETA 5.3h
[144/288] S2b_A1_supports_c1239_a0.55_x28_r05 357s ETA 5.2h
[145/288] S2b_A1_supports_c993_a0.30_x04_r06 418s ETA 5.3h
[146/288] S2b_A1_supports_c1103_a0.30_x04_r06 420s ETA 5.2h
[147/288] S2b_A1_supports_c1239_a0.30_x04_r06 421s ETA 5.1h
[148/288] S2b_A1_supports_c993_a0.30_x12_r06 411s ETA 5.2h
[149/288] S2b_A1_supports_c1103_a0.30_x12_r06 412s ETA 5.1h
[150/288] S2b_A1_supports_c1239_a0.30_x12_r06 411s ETA 5.0h
[151/288] S2b_A1_supports_c993_a0.30_x20_r06 420s ETA 5.1h
[152/288] S2b_A1_supports_c1103_a0.30_x20_r06 422s ETA 5.0h
[153/288] S2b_A1_supports_c1239_a0.30_x20_r06 421s ETA 4.9h
[154/288] S2b_A1_supports_c993_a0.30_x28_r06 415s ETA 4.9h
[155/288] S2b_A1_supports_c1103_a0.30_x28_r06 414s ETA 4.9h
[156/288] S2b_A1_supports_c1239_a0.30_x28_r06 415s ETA 4.8h
[157/288] S2b_A1_supports_c993_a0.55_x04_r06 372s ETA 4.8h
[158/288] S2b_A1_supports_c1103_a0.55_x04_r06 369s ETA 4.8h
[159/288] S2b_A1_supports_c1239_a0.55_x04_r06 365s ETA 4.7h
[160/288] S2b_A1_supports_c993_a0.55_x12_r06 358s ETA 4.7h
[161/288] S2b_A1_supports_c1103_a0.55_x12_r06 357s ETA 4.6h
[162/288] S2b_A1_supports_c1239_a0.55_x12_r06 357s ETA 4.6h
[163/288] S2b_A1_supports_c993_a0.55_x20_r06 360s ETA 4.6h
[164/288] S2b_A1_supports_c1103_a0.55_x20_r06 360s ETA 4.5h
[165/288] S2b_A1_supports_c1239_a0.55_x20_r06 362s ETA 4.5h
[166/288] S2b_A1_supports_c993_a0.55_x28_r06 356s ETA 4.5h
[167/288] S2b_A1_supports_c1103_a0.55_x28_r06 358s ETA 4.4h
[168/288] S2b_A1_supports_c1239_a0.55_x28_r06 357s ETA 4.4h
[169/288] S2b_A1_supports_c993_a0.30_x04_r07 414s ETA 4.4h
[170/288] S2b_A1_supports_c1103_a0.30_x04_r07 415s ETA 4.3h
[171/288] S2b_A1_supports_c1239_a0.30_x04_r07 416s ETA 4.2h
[172/288] S2b_A1_supports_c993_a0.30_x12_r07 417s ETA 4.3h
[173/288] S2b_A1_supports_c1103_a0.30_x12_r07 418s ETA 4.2h
[174/288] S2b_A1_supports_c1239_a0.30_x12_r07 418s ETA 4.1h
[175/288] S2b_A1_supports_c993_a0.30_x20_r07 417s ETA 4.2h
[176/288] S2b_A1_supports_c1103_a0.30_x20_r07 417s ETA 4.1h
[177/288] S2b_A1_supports_c1239_a0.30_x20_r07 419s ETA 4.0h
[178/288] S2b_A1_supports_c993_a0.30_x28_r07 419s ETA 4.0h
[179/288] S2b_A1_supports_c1103_a0.30_x28_r07 419s ETA 4.0h
[180/288] S2b_A1_supports_c1239_a0.30_x28_r07 419s ETA 3.9h
